"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","PctExp"
"log10(size)      ",1,1.76988331288869,1.76988331288869,33.749519248006,1.74166621708872e-08,10.8767397886425
"hostrange.numeric",1,0.18570914064159,0.18570914064159,3.54124713814294,0.0609242193892391,1.14126732786368
"Residuals        ",273,14.3165933970203,0.0524417340550193,NA,NA,87.9819928834938
